"Source:","C:\Users\Andrew\src\kicad-projects\Rocket Igniter 9v\Rocket Igniter 9v.kicad_sch"
"Date:","3/4/2022 2:43:30 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","35PX680MEFC10X16","Device:CP1","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/PX.pdf"
"","","C2","860010572002","Device:CP1","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","https://www.we-online.com/katalog/datasheet/860010572002.pdf"
"","","C3","860010572002","Device:CP1","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","https://www.we-online.com/katalog/datasheet/860010572002.pdf"
"","","D1","1N5819-E3/54","Device:D_Schottky","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/88525/1n5817.pdf"
"","","D2","P6KE6.8CA","Diode:1.5KExxCA","Diode_THT:D_DO-15_P10.16mm_Horizontal","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_p6ke_datasheet.pdf.pdf"
"","","J1","1711725","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1711725.pdf"
"","","J2","1711725","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1711725.pdf"
"","","K1","G5Q-1 DC5","Relay:G5Q-1","Relay_THT:Relay_SPDT_Omron-G5Q-1","https://components.omron.com/us-en/sites/components.omron.com.us/files/datasheet_pdf/J155-E1.pdf"
"","","Q1","BC327","Transistor_BJT:BC327","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF"
"","","Q2","PN2222ABU","Device:Q_NPN_EBC","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pdf/datasheet/pn2222a-d.pdf"
"","","R1","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R5","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R6","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R7","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R8","4.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","VR1","AS7805AT-E1","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.diodes.com/assets/Datasheets/AS78XXA.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","35PX680MEFC10X16","Device:CP1","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/PX.pdf"
"2","2","C2, C3","860010572002","Device:CP1","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","https://www.we-online.com/katalog/datasheet/860010572002.pdf"
"3","1","D1","1N5819-E3/54","Device:D_Schottky","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/88525/1n5817.pdf"
"4","1","D2","P6KE6.8CA","Diode:1.5KExxCA","Diode_THT:D_DO-15_P10.16mm_Horizontal","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_p6ke_datasheet.pdf.pdf"
"5","2","J1, J2","1711725","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1711725.pdf"
"6","1","K1","G5Q-1 DC5","Relay:G5Q-1","Relay_THT:Relay_SPDT_Omron-G5Q-1","https://components.omron.com/us-en/sites/components.omron.com.us/files/datasheet_pdf/J155-E1.pdf"
"7","1","Q1","BC327","Transistor_BJT:BC327","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/BC327-D.PDF"
"8","1","Q2","PN2222ABU","Device:Q_NPN_EBC","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pdf/datasheet/pn2222a-d.pdf"
"9","3","R1, R3, R5","220","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"10","3","R2, R4, R6","33k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"11","1","R7","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"12","1","R8","4.2k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"13","1","VR1","AS7805AT-E1","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.diodes.com/assets/Datasheets/AS78XXA.pdf"
